ID	TIMESTAMP	DIA	MES	AÑO	ESTADO	Municipio	DE	PF	MIF	MAF	PFF	AFIF	PEF	PMF	PMUF	AMPF	DOF	CIF	PL	MIL	MAL	PFL	AFIFL	PEL	PML	PMUL	AMPL	DOL	CIL	ARL	ARC	CARG	CART	VE	AC	AP	DEL	TOR	DTRA	PRE	FCRU	ELE	TAX	DRO	VEH	VAL
57	1181192410	7	6	2007	1	1	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	141	0	0	0	0	0	0	0
58	1181365210	9	6	2007	19	38	2	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	1	9999	4	1	19	622	2	0	1	0	0	143	0	1	0	0	0	0	1
59	1181624410	12	6	2007	8	5	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	4	0	0	0	0	146	0	1	0	0	0	1	0
60	1182315610	20	6	2007	27	4	3	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	2	9999	9999	9999	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	154	0	0	0	0	0	0	1
61	1183179610	30	6	2007	28	22	0	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	1	9999	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	164	0	1	0	0	0	0	0
62	1185339610	25	7	2007	30	193	1	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	189	0	1	0	0	0	0	0
63	1185598810	28	7	2007	28	32	8	1	9999	9999	9999	9999	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	3	5	24	432	2	0	0	0	0	192	0	0	0	0	0	0	1
64	1185598810	28	7	2007	2	4	9999	1	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	3	9999	9999	9999	9999	3	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	192	0	0	0	0	0	1	0
65	1186462810	7	8	2007	27	4	2	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	202	0	1	0	0	0	0	1
66	1187326810	17	8	2007	8	29	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	1	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	9999	0	0	0	0	212	0	1	0	0	1	0	1
67	1187931610	24	8	2007	25	2	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	219	0	1	0	0	0	0	0
68	1188882010	4	9	2007	30	87	3	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	2	9999	9999	9999	9999	9999	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	230	0	1	0	0	0	0	1
