"","muncode","year","name1","name2","lastn1","lastn2","party_mixed","fed_party"
"9350",20161,"2010","GUILLERMO","ROSAS","PACHECO"," MARTÍNEZ","UYC",0
"9351",20161,"2011","EMILIO","MAYORAL","CHAVEZ"," MARTÍNEZ","UYC",0
"9352",20161,"2012","EMILIO","MAYORAL","CHAVEZ"," MARTÍNEZ","UYC",0
"9353",20161,"2013","MARCELINO","","GARCÍA","0","UYC",0
"9354",20162,"2006","JOSE","LEONCIO","PERALTA","0","UYC",0
"9355",20162,"2007","JOSE","LEONCIO","PERALTA","0","UYC",0
"9356",20162,"2008","ROLANDO","EDUARDO","SANTIAGO","ANTONIO","UYC",0
"9357",20162,"2009","ROLANDO","EDUARDO","SANTIAGO","ANTONIO","UYC",0
"9358",20162,"2010","ROLANDO","EDUARDO","SANTIAGO","ANTONIO","UYC",0
"9359",20162,"2011","MARTIN","HERNANDEZ","HERNANDEZ","ANTONIO","UYC",0
"9360",20162,"2012","MARTIN","HERNANDEZ","HERNANDEZ","ANTONIO","UYC",0
"9361",20162,"2013","OTHÓN"," "," ANTONIO"," PERALTA","UYC",0
"9362",20163,"2006","MIGUEL","ANGEL","PEREDA","ZUÑIGA","UYC",0
"9363",20163,"2007","MIGUEL","ANGEL","PEREDA","ZUÑIGA","UYC",0
"9364",20163,"2008","GONZALO","ZAMORA","ARANDA","ZUÑIGA","UYC",0
"9365",20163,"2009","GONZALO","ZAMORA","ARANDA","ZUÑIGA","UYC",0
"9366",20163,"2010","GONZALO","ZAMORA","ARANDA","ZUÑIGA","UYC",0
"9367",20163,"2011","ROMAN","MERINO","REYES","ZUÑIGA","UYC",0
"9368",20163,"2012","ROMAN","MERINO","REYES","ZUÑIGA","UYC",0
"9369",20163,"2013","CONSTANTINO",""," MORENO"," MIRANDA","UYC",0
"9370",20164,"2006","ISMAEL","BENITO","RAMIREZ","PEREZ","UYC",0
"9371",20164,"2007","ISMAEL","BENITO","RAMIREZ","PEREZ","UYC",0
"9372",20164,"2008","MARCELINO","MARIO","ANASTACIO","ALEJO","UYC",0
"9373",20164,"2009","MARCELINO","MARIO","ANASTACIO","ALEJO","UYC",0
"9374",20164,"2010","MARCELINO","MARIO","ANASTACIO","ALEJO","UYC",0
"9375",20164,"2011","GORGONIO","ARTURO","SIXTO","BENITO","UYC",0
"9376",20164,"2012","GORGONIO","ARTURO","SIXTO","BENITO","UYC",0
"9377",20164,"2013","JULIO","VICENTE "," ALEJO"," SILVA","UYC",0
"9378",20165,"2006","MOISES","CARIÑO","RIOZ"," SILVA","UYC",0
"9379",20165,"2007","MOISES","CARIÑO","RIOZ"," SILVA","UYC",0
"9380",20165,"2008","MIGUEL","ANGEL","MENDEZ","HERNANDEZ","UYC",0
"9381",20165,"2009","MIGUEL","ANGEL","MENDEZ","HERNANDEZ","UYC",0
"9382",20165,"2010","MIGUEL","ANGEL","MENDEZ","HERNANDEZ","UYC",0
"9383",20165,"2011","PEDRO","DEJESUS","HERNANDEZ","NAVARRETE","UYC",0
"9384",20165,"2012","PEDRO","DEJESUS","HERNANDEZ","NAVARRETE","UYC",0
"9385",20165,"2013","VÍCTOR","MANUEL "," PACHECO"," AMBROCIO","UYC",0
"9386",20166,"2006","URBANO","LEYVA","YESCAS"," AMBROCIO","PRI",0
"9387",20166,"2007","URBANO","LEYVA","YESCAS"," AMBROCIO","PRI",0
"9388",20166,"2008","IRINEO","MOLINA","ESPINOZA"," AMBROCIO","OTHER",0
"9389",20166,"2009","IRINEO","MOLINA","ESPINOZA"," AMBROCIO","OTHER",0
"9390",20166,"2010","IRINEO","MOLINA","ESPINOZA"," AMBROCIO","OTHER",0
"9391",20166,"2011","HECTOR","ROMERO","OJEDA"," AMBROCIO","OTHER",0
"9392",20166,"2012","HECTOR","ROMERO","OJEDA"," AMBROCIO","OTHER",0
"9393",20166,"2013","HECTOR","ROMERO","OJEDA"," AMBROCIO","OTHER",0
"9394",20167,"2006","PEDRO","SALINAS","CASTRO"," ESPINOZA","UYC",0
"9395",20167,"2007","PEDRO","SALINAS","CASTRO"," ESPINOZA","UYC",0
"9396",20167,"2008","CRECENCIANO","BAUTISTA","GARCIA"," ESPINOZA","UYC",0
"9397",20167,"2009","CRECENCIANO","BAUTISTA","GARCIA"," ESPINOZA","UYC",0
"9398",20167,"2010","CRECENCIANO","BAUTISTA","GARCIA"," ESPINOZA","UYC",0
"9399",20167,"2011","MARCELINO","LORENZO","GARCIA"," ESPINOZA","UYC",0
"9400",20167,"2012","MARCELINO","LORENZO","GARCIA"," ESPINOZA","UYC",0
"9401",20167,"2013","UBALDO",""," SALINAS"," BAUTISTA","UYC",0
"9402",20168,"2006","ISRAEL","REYES","MONTES"," BAUTISTA","PRD",0
"9403",20168,"2007","ISRAEL","REYES","MONTES"," BAUTISTA","PRD",0
"9404",20168,"2008","LEONARDO","GIL","SALINAS","HERNANDEZ","PRI",0
"9405",20168,"2009","LEONARDO","GIL","SALINAS","HERNANDEZ","PRI",0
"9406",20168,"2010","LEONARDO","GIL","SALINAS","HERNANDEZ","PRI",0
"9407",20168,"2011","FELIX","RUFINO","METODIO","CORCUERA","PRI",0
"9408",20168,"2012","FELIX","RUFINO","METODIO","CORCUERA","PRI",0
"9409",20168,"2013","FELIX","RUFINO","METODIO","CORCUERA","PRI",1
"9410",20169,"2006","ALBERTO","ANTONIO","GARCIA","PALACIOS","PRD",0
"9411",20169,"2007","ALBERTO","ANTONIO","GARCIA","PALACIOS","PRD",0
"9412",20169,"2008","VICTORINO","MORALES","SANCHEZ","PALACIOS","PRD",0
"9413",20169,"2009","VICTORINO","MORALES","SANCHEZ","PALACIOS","PRD",0
"9414",20169,"2010","VICTORINO","MORALES","SANCHEZ","PALACIOS","PRD",0
"9415",20169,"2011","ALBERTO","ANTONIO","GARCIA","PALACIOS","PRD",0
"9416",20169,"2012","ALBERTO","ANTONIO","GARCIA","PALACIOS","PRD",0
"9417",20169,"2013","ALBERTO","ANTONIO","GARCIA","PALACIOS","PRD",0
"9418",20170,"2006","JOSE","ANTONIO","AMADO","OSORIO","UYC",0
"9419",20170,"2007","JOSE","ANTONIO","AMADO","OSORIO","UYC",0
"9420",20170,"2008","BENITO","LUIS","AMADO","OSORIO","UYC",0
"9421",20170,"2009","BENITO","LUIS","AMADO","OSORIO","UYC",0
"9422",20170,"2010","BENITO","LUIS","AMADO","OSORIO","UYC",0
"9423",20170,"2011","GREGORIO","REYES","AMADO","OSORIO","UYC",0
"9424",20170,"2012","GREGORIO","REYES","AMADO","OSORIO","UYC",0
"9425",20170,"2013","JOSÉ",""," VÁSQUEZ"," LÓPEZ","UYC",0
"9426",20171,"2006","HERMINIO","GONZALEZ","GALLARDO"," LÓPEZ","PRD",0
"9427",20171,"2007","HERMINIO","GONZALEZ","GALLARDO"," LÓPEZ","PRD",0
"9428",20171,"2008","GABRIEL","CARRERA","GARCIA"," LÓPEZ","PRD",0
"9429",20171,"2009","GABRIEL","CARRERA","GARCIA"," LÓPEZ","PRD",0
"9430",20171,"2010","GABRIEL","CARRERA","GARCIA"," LÓPEZ","PRD",0
"9431",20171,"2011","EMILIO","HERRERA","MARTINEZ"," LÓPEZ","PRD",0
"9432",20171,"2012","EMILIO","HERRERA","MARTINEZ"," LÓPEZ","PRD",0
"9433",20171,"2013","EMILIO","HERRERA","MARTINEZ"," LÓPEZ","PRD",0
"9434",20172,"2006","JESUS","RAMIREZ","CRISANTOS"," CARRERA","UYC",0
"9435",20172,"2007","JESUS","RAMIREZ","CRISANTOS"," CARRERA","UYC",0
"9436",20172,"2008","RIGOBERTO","REYES","LOPEZ"," CARRERA","UYC",0
"9437",20172,"2009","RIGOBERTO","REYES","LOPEZ"," CARRERA","UYC",0
"9438",20172,"2010","RIGOBERTO","REYES","LOPEZ"," CARRERA","UYC",0
"9439",20172,"2011","EULALIO","GONZALEZ","RAMIREZ"," CARRERA","UYC",0
"9440",20172,"2012","EULALIO","GONZALEZ","RAMIREZ"," CARRERA","UYC",0
"9441",20172,"2013","HÉCTOR",""," LÓPEZ"," MARTÍNEZ","UYC",0
"9442",20173,"2006","HOMERO","ZOTERO","VELASCO"," MARTÍNEZ","UYC",0
"9443",20173,"2007","HOMERO","ZOTERO","VELASCO"," MARTÍNEZ","UYC",0
"9444",20173,"2008","SANTOS","CUSTODIO","HERNANDEZ"," MARTÍNEZ","UYC",0
"9445",20173,"2009","SANTOS","CUSTODIO","HERNANDEZ"," MARTÍNEZ","UYC",0
"9446",20173,"2010","SANTOS","CUSTODIO","HERNANDEZ"," MARTÍNEZ","UYC",0
"9447",20173,"2011","SANTOS","CUSTODIO","HERNANDEZ"," MARTÍNEZ","UYC",0
"9448",20173,"2012","JAVIER","EMICLIO","GARCIA","HERNANDEZ","UYC",0
"9449",20173,"2013","ADELINO","VELASCO","VELASCO","HERNANDEZ","UYC",0
"9450",20174,"2006","APOLINAR","LOPEZ","SIBAJA","VELASCO ","UYC",0
"9451",20174,"2007","APOLINAR","LOPEZ","SIBAJA","VELASCO ","UYC",0
"9452",20174,"2008","ROBERTO","MESINAS","LOPEZ","VELASCO ","UYC",0
"9453",20174,"2009","ROBERTO","MESINAS","LOPEZ","VELASCO ","UYC",0
"9454",20174,"2010","ROBERTO","MESINAS","LOPEZ","VELASCO ","UYC",0
"9455",20174,"2011","ELOY","NAHUM","VELASCO","NEGRETE","UYC",0
"9456",20174,"2012","ELOY","NAHUM","VELASCO","NEGRETE","UYC",0
"9457",20174,"2013","MANUEL",""," LÓPEZ"," CERVANTES","UYC",0
"9458",20175,"2006","FRANCISCO","ROJAS","ARELLANO"," CERVANTES","UYC",0
"9459",20175,"2007","FRANCISCO","ROJAS","ARELLANO"," CERVANTES","UYC",0
"9460",20175,"2008","FRANCISCO","PEREZ","RIVERA"," CERVANTES","UYC",0
"9461",20175,"2009","FRANCISCO","PEREZ","RIVERA"," CERVANTES","UYC",0
"9462",20175,"2010","FRANCISCO","PEREZ","RIVERA"," CERVANTES","UYC",0
"9463",20175,"2011","SERGIO","SANTIAGO","VELASCO"," CERVANTES","UYC",0
"9464",20175,"2012","SERGIO","SANTIAGO","VELASCO"," CERVANTES","UYC",0
"9465",20175,"2013","JUAN","SANTIAGO"," DE LA ROSA","BAUTISTA","UYC",0
"9466",20176,"2006","REYES","LOPEZ","SALINAS","BAUTISTA","UYC",0
"9467",20176,"2007","REYES","LOPEZ","SALINAS","BAUTISTA","UYC",0
"9468",20176,"2008","FERNANDO","JUAREZ","SALINAS","BAUTISTA","UYC",0
"9469",20176,"2009","FERNANDO","JUAREZ","SALINAS","BAUTISTA","UYC",0
"9470",20176,"2010","FERNANDO","JUAREZ","SALINAS","BAUTISTA","UYC",0
"9471",20176,"2011","OSCAR","GUZMAN","CRUZ","BAUTISTA","UYC",0
"9472",20176,"2012","OSCAR","GUZMAN","CRUZ","BAUTISTA","UYC",0
"9473",20176,"2013","RAÚL",""," LÓPEZ"," CARRIZOSA","UYC",0
"9474",20177,"2006","EUSEBIO","CESAR","CRUZ","RODRIGUEZ","PRI",0
"9475",20177,"2007","EUSEBIO","CESAR","CRUZ","RODRIGUEZ","PRI",0
"9476",20177,"2008","MARIO","EUGENIO","LALE","OSANTE","PRI",0
"9477",20177,"2009","MARIO","EUGENIO","LALE","OSANTE","PRI",0
"9478",20177,"2010","MARIO","EUGENIO","LALE","OSANTE","PRI",0
"9479",20177,"2011","JORGE","GIL","LOPEZ","ESTEVA","PRI",0
"9480",20177,"2012","JORGE","GIL","LOPEZ","ESTEVA","PRI",0
"9481",20177,"2013","JORGE","GIL","LOPEZ","ESTEVA","PRI",1
"9482",20178,"2006","GUILLERMO","REGINO","CRUZ"," SÁNCHEZ","UYC",0
"9483",20178,"2007","GUILLERMO","REGINO","CRUZ"," SÁNCHEZ","UYC",0
"9484",20178,"2008","GERARDO","NARCISO","GARCIA","DIAZ","UYC",0
"9485",20178,"2009","GERARDO","NARCISO","GARCIA","DIAZ","UYC",0
"9486",20178,"2010","GERARDO","NARCISO","GARCIA","DIAZ","UYC",0
"9487",20178,"2011","ROBERTO","VILLAVERDEBOLAÑOS","GARCIA","DIAZ","UYC",0
"9488",20178,"2012","ROBERTO","VILLAVERDEBOLAÑOS","GARCIA","DIAZ","UYC",0
"9489",20178,"2013","ROBERTO","VILLAVERDEBOLAÑOS","GARCIA","DIAZ","UYC",0
"9490",20179,"2006","JUAN","DOLORES","CHAVEZ","DIAZ","UYC",0
"9491",20179,"2007","JUAN","DOLORES","CHAVEZ","DIAZ","UYC",0
"9492",20179,"2008","ADELAIDO","CARRASCO","CRUZ","DIAZ","UYC",0
"9493",20179,"2009","ADELAIDO","CARRASCO","CRUZ","DIAZ","UYC",0
"9494",20179,"2010","ADELAIDO","CARRASCO","CRUZ","DIAZ","UYC",0
"9495",20179,"2011","JACINTO","MARTINEZ","PEREZ","DIAZ","UYC",0
"9496",20179,"2012","JACINTO","MARTINEZ","PEREZ","DIAZ","UYC",0
"9497",20179,"2013","ERMINIO",""," SANDOVAL"," HERNÁNDEZ","UYC",0
"9498",20180,"2006","NICOLAS","SANTAMARIA","HERNANDEZ"," HERNÁNDEZ","PRI",0
"9499",20180,"2007","NICOLAS","SANTAMARIA","HERNANDEZ"," HERNÁNDEZ","PRI",0
"9500",20180,"2008","ALFREDO","VICENTE","OJEDA","SERRANO","OTHER",0
"9501",20180,"2009","ALFREDO","VICENTE","OJEDA","SERRANO","OTHER",0
"9502",20180,"2010","ALFREDO","VICENTE","OJEDA","SERRANO","OTHER",0
"9503",20180,"2011","JOSE","ALBERTO","HERNANDEZ","CLEMENTE","PRI",0
"9504",20180,"2012","JOSE","ALBERTO","HERNANDEZ","CLEMENTE","PRI",0
"9505",20180,"2013","JOSE","ALBERTO","HERNANDEZ","CLEMENTE","PRI",1
"9506",20181,"2006","ROBERTO","MENDEZ","ALVARES"," MARTÍNEZ","PRI",0
"9507",20181,"2007","ROBERTO","MENDEZ","ALVARES"," MARTÍNEZ","PRI",0
"9508",20181,"2008","REY","JESUS","MENDEZ","CALDERON","PRI",0
"9509",20181,"2009","REY","JESUS","MENDEZ","CALDERON","PRI",0
"9510",20181,"2010","REY","JESUS","MENDEZ","CALDERON","PRI",0
"9511",20181,"2011","DIEGO","MOISES","MORALES","CALDERON","PAN",1
