"","muncode","longitud","km","AREA","sqkm","densidad","densidad_r"
"2015",28038,120802.154805707,120.802154805707,113312157.857422,113.312157857422,106.610055875654,2286
"2016",28039,486722.284889302,486.722284889302,3042908421.21802,3042.90842121802,15.9952984945395,646
"2017",28040,250555.611396311,250.555611396311,891237231.675293,891.237231675293,28.1132343321578,1188
"2018",28041,447141.336813942,447.141336813942,1447677289.16162,1447.67728916162,30.8868102139594,1278
"2019",28042,180700.33225563,180.70033225563,1274650083.19238,1274.65008319238,14.1764657327024,560
"2020",28043,266595.591145029,266.595591145029,861346762.581787,861.346762581787,30.9510179554097,1282
"2021",29001,8035.1315692171,8.0351315692171,11329640.147217,11.329640147217,70.9213308172973,2076
"2022",29002,28255.5712127485,28.2555712127485,11553755.925537,11.553755925537,244.557452960347,2447
"2023",29003,67274.0692847958,67.2740692847958,107498788.345215,107.498788345215,62.5812349333241,1994
"2024",29004,85751.9888185274,85.7519888185274,187095506.10498,187.09550610498,45.833270185769,1697
"2025",29005,74877.1383086892,74.8771383086892,43611812.029785,43.611812029785,171.690041811497,2416
"2026",29006,147759.51382017,147.75951382017,252389088.568604,252.389088568604,58.5443351208928,1928
"2027",29007,24543.3050080893,24.5433050080893,58106459.32959,58.10645932959,42.2385140847688,1624
"2028",29008,38681.6297160406,38.6816297160406,83792148.071289,83.792148071289,46.1637881429306,1708
"2029",29009,18086.7532171493,18.0867532171493,16578771.912842,16.578771912842,109.09585650997,2295
"2030",29010,84744.9353339565,84.7449353339565,76799215.687012,76.799215687012,110.346094782174,2299
"2031",29011,29839.2778713565,29.8392778713565,36159725.6521,36.1597256521,82.5207529460987,2181
"2032",29012,125144.933995329,125.144933995329,138875676.280273,138.875676280273,90.1129249896628,2211
"2033",29013,181229.30177245,181.22930177245,346851891.628174,346.851891628174,52.2497660086941,1834
"2034",29014,150466.128781263,150.466128781263,174937818.83374,174.93781883374,86.0112066015099,2197
"2035",29015,113660.095131825,113.660095131825,160580149.254883,160.580149254883,70.7809126216569,2072
"2036",29016,8320.6284228868,8.3206284228868,44160987.276367,44.160987276367,18.8415815317146,806
"2037",29017,22137.1386940683,22.1371386940683,14565517.293457,14.565517293457,151.983195983108,2384
"2038",29018,28989.67212705,28.98967212705,26006937.544189,26.006937544189,111.468995831566,2301
"2039",29019,17905.3943794191,17.9053943794191,22982108.066895,22.982108066895,77.9101478737334,2137
"2040",29020,40959.2535516794,40.9592535516794,98632899.028809,98.632899028809,41.5269691502385,1600
"2041",29021,29063.1860467396,29.0631860467396,107580950.769775,107.580950769775,27.0151786527108,1133
"2042",29022,11537.3175767648,11.5373175767648,14916775.528076,14.916775528076,77.3445813074651,2133
"2043",29023,51823.3234770834,51.8233234770834,52217873.194824,52.217873194824,99.2444163394619,2257
"2044",29024,45429.8403119401,45.4298403119401,60611608.776611,60.611608776611,74.9523750134656,2116
"2045",29025,31241.5246264499,31.2415246264499,58626220.475342,58.626220475342,53.2893377283122,1845
"2046",29026,29344.611083288,29.344611083288,25743118.862793,25.743118862793,113.990116114875,2309
"2047",29027,11285.2041805065,11.2852041805065,13174535.289307,13.174535289307,85.6592200991411,2194
"2048",29028,23788.6558352135,23.7886558352135,76224977.01416,76.22497701416,31.2084788569951,1289
"2049",29029,21559.3043677067,21.5593043677067,16362770.389893,16.362770389893,131.758277198729,2355
"2050",29030,69557.518454406,69.557518454406,153745023.035645,153.745023035645,45.2421269196333,1683
"2051",29031,64768.268805546,64.768268805546,168802918.249756,168.802918249756,38.3691641572906,1512
"2052",29032,25905.4985947298,25.9054985947298,25999911.860352,25.999911860352,99.6368708242963,2262
"2053",29033,105194.146639875,105.194146639875,51842077.485352,51.842077485352,202.912675846368,2431
"2054",29034,129639.353321452,129.639353321452,571865561.078613,571.865561078613,22.6695507029546,963
